fecha,metrica,tipo_credito,valor
2016-05-31,mora_120d,total,1.978972
2016-05-31,mora_30d,total,3.431311
2016-05-31,mora_60d,total,2.760695
2016-05-31,mora_90d,total,2.338500
2016-05-31,morosidad_contable,total,2.860000
2016-05-31,morosidad_publicada,total,2.862335
2016-06-30,deudores,consumo,3398791.000000
2016-06-30,morosidad_publicada,consumo,3.780047
2016-06-30,deudores,corporativo,715.000000
2016-06-30,morosidad_publicada,corporativo,0.069995
2016-06-30,deudores,grandes_empresas,2746.000000
2016-06-30,morosidad_publicada,grandes_empresas,1.071901
2016-06-30,deudores,hipotecario,209363.000000
2016-06-30,morosidad_publicada,hipotecario,2.153075
2016-06-30,deudores,medianas_empresas,28604.000000
2016-06-30,morosidad_publicada,medianas_empresas,5.944158
2016-06-30,deudores,microempresas,592474.000000
2016-06-30,morosidad_publicada,microempresas,3.188546
2016-06-30,deudores,pequenas_empresas,231404.000000
2016-06-30,morosidad_publicada,pequenas_empresas,9.486108
2016-06-30,deudores,total,4197172.000000
2016-06-30,mora_120d,total,2.040158
2016-06-30,mora_30d,total,3.484675
2016-06-30,mora_60d,total,2.781963
2016-06-30,mora_90d,total,2.355120
2016-06-30,morosidad_contable,total,2.870000
2016-06-30,morosidad_publicada,total,2.865539
2016-07-31,deudores,consumo,3386467.000000
2016-07-31,morosidad_publicada,consumo,3.651198
2016-07-31,deudores,corporativo,695.000000
2016-07-31,morosidad_publicada,corporativo,0.031841
2016-07-31,deudores,grandes_empresas,2819.000000
2016-07-31,morosidad_publicada,grandes_empresas,0.957032
2016-07-31,deudores,hipotecario,209799.000000
2016-07-31,morosidad_publicada,hipotecario,2.183675
2016-07-31,deudores,medianas_empresas,28461.000000
2016-07-31,morosidad_publicada,medianas_empresas,6.064192
2016-07-31,deudores,microempresas,594069.000000
2016-07-31,morosidad_publicada,microempresas,3.378065
2016-07-31,deudores,pequenas_empresas,232576.000000
2016-07-31,morosidad_publicada,pequenas_empresas,9.823274
2016-07-31,deudores,total,4188452.000000
2016-07-31,mora_120d,total,2.024813
2016-07-31,mora_30d,total,3.391403
2016-07-31,mora_60d,total,2.776956
2016-07-31,mora_90d,total,2.345720
2016-07-31,morosidad_contable,total,2.850000
2016-07-31,morosidad_publicada,total,2.845195
2016-08-31,deudores,consumo,3387631.000000
2016-08-31,morosidad_publicada,consumo,3.674286
2016-08-31,deudores,corporativo,698.000000
2016-08-31,morosidad_publicada,corporativo,0.012755
2016-08-31,deudores,grandes_empresas,2803.000000
2016-08-31,morosidad_publicada,grandes_empresas,0.976519
2016-08-31,deudores,hipotecario,210315.000000
2016-08-31,morosidad_publicada,hipotecario,2.331469
2016-08-31,deudores,medianas_empresas,28442.000000
2016-08-31,morosidad_publicada,medianas_empresas,6.423643
2016-08-31,deudores,microempresas,594671.000000
2016-08-31,morosidad_publicada,microempresas,3.281598
2016-08-31,deudores,pequenas_empresas,233085.000000
2016-08-31,morosidad_publicada,pequenas_empresas,9.657294
2016-08-31,deudores,total,4190891.000000
2016-08-31,mora_120d,total,2.095650
2016-08-31,mora_30d,total,3.458089
2016-08-31,mora_60d,total,2.854078
2016-08-31,mora_90d,total,2.410916
2016-08-31,morosidad_contable,total,2.910000
2016-08-31,morosidad_publicada,total,2.913036
2016-09-30,deudores,consumo,3377390.000000
2016-09-30,morosidad_publicada,consumo,3.549288
2016-09-30,deudores,corporativo,708.000000
2016-09-30,morosidad_publicada,corporativo,0.017535
2016-09-30,deudores,grandes_empresas,2801.000000
2016-09-30,morosidad_publicada,grandes_empresas,0.956016
2016-09-30,deudores,hipotecario,210261.000000
2016-09-30,morosidad_publicada,hipotecario,2.270400
2016-09-30,deudores,medianas_empresas,28354.000000
2016-09-30,morosidad_publicada,medianas_empresas,6.266481
2016-09-30,deudores,microempresas,594766.000000
2016-09-30,morosidad_publicada,microempresas,3.124342
2016-09-30,deudores,pequenas_empresas,233801.000000
2016-09-30,morosidad_publicada,pequenas_empresas,9.470160
2016-09-30,deudores,total,4181811.000000
2016-09-30,mora_120d,total,2.080157
2016-09-30,mora_30d,total,3.412761
2016-09-30,mora_60d,total,2.781814
2016-09-30,mora_90d,total,2.397261
2016-09-30,morosidad_contable,total,2.860000
2016-09-30,morosidad_publicada,total,2.856306
2016-10-31,deudores,consumo,3382503.000000
2016-10-31,morosidad_publicada,consumo,3.625410
2016-10-31,deudores,corporativo,721.000000
2016-10-31,morosidad_publicada,corporativo,0.012973
2016-10-31,deudores,grandes_empresas,2801.000000
2016-10-31,morosidad_publicada,grandes_empresas,1.255008
2016-10-31,deudores,hipotecario,209222.000000
2016-10-31,morosidad_publicada,hipotecario,2.292374
2016-10-31,deudores,medianas_empresas,28267.000000
2016-10-31,morosidad_publicada,medianas_empresas,6.436098
2016-10-31,deudores,microempresas,597095.000000
2016-10-31,morosidad_publicada,microempresas,3.099875
2016-10-31,deudores,pequenas_empresas,234700.000000
2016-10-31,morosidad_publicada,pequenas_empresas,9.388329
2016-10-31,deudores,total,4189790.000000
2016-10-31,mora_120d,total,2.118463
2016-10-31,mora_30d,total,3.508549
2016-10-31,mora_60d,total,2.846118
2016-10-31,mora_90d,total,2.443638
2016-10-31,morosidad_contable,total,2.950000
2016-10-31,morosidad_publicada,total,2.947851
2016-11-30,deudores,consumo,3386405.000000
2016-11-30,morosidad_publicada,consumo,3.652866
2016-11-30,deudores,corporativo,740.000000
2016-11-30,morosidad_publicada,corporativo,0.003109
2016-11-30,deudores,grandes_empresas,2803.000000
2016-11-30,morosidad_publicada,grandes_empresas,1.256277
2016-11-30,deudores,hipotecario,208757.000000
2016-11-30,morosidad_publicada,hipotecario,2.315158
2016-11-30,deudores,medianas_empresas,28358.000000
2016-11-30,morosidad_publicada,medianas_empresas,6.516277
2016-11-30,deudores,microempresas,599346.000000
2016-11-30,morosidad_publicada,microempresas,3.090775
2016-11-30,deudores,pequenas_empresas,235722.000000
2016-11-30,morosidad_publicada,pequenas_empresas,9.302726
2016-11-30,deudores,total,4196569.000000
2016-11-30,mora_120d,total,2.163673
2016-11-30,mora_30d,total,3.510943
2016-11-30,mora_60d,total,2.918959
2016-11-30,mora_90d,total,2.463405
2016-11-30,morosidad_contable,total,2.960000
2016-11-30,morosidad_publicada,total,2.963397
2016-12-31,deudores,consumo,3402379.000000
2016-12-31,morosidad_publicada,consumo,3.583045
2016-12-31,deudores,corporativo,728.000000
2016-12-31,morosidad_publicada,corporativo,0.002369
2016-12-31,deudores,grandes_empresas,2772.000000
2016-12-31,morosidad_publicada,grandes_empresas,0.917875
2016-12-31,deudores,hipotecario,208967.000000
2016-12-31,morosidad_publicada,hipotecario,2.278437
2016-12-31,deudores,medianas_empresas,28410.000000
2016-12-31,morosidad_publicada,medianas_empresas,6.077875
2016-12-31,deudores,microempresas,599012.000000
2016-12-31,morosidad_publicada,microempresas,3.075322
2016-12-31,deudores,pequenas_empresas,235302.000000
2016-12-31,morosidad_publicada,pequenas_empresas,8.963290
2016-12-31,deudores,total,4210930.000000
2016-12-31,mora_120d,total,2.068464
2016-12-31,mora_30d,total,3.341442
2016-12-31,mora_60d,total,2.760523
2016-12-31,mora_90d,total,2.369399
2016-12-31,morosidad_contable,total,2.800000
2016-12-31,morosidad_publicada,total,2.796346
2017-01-31,deudores,consumo,3384723.000000
2017-01-31,morosidad_publicada,consumo,3.743809
2017-01-31,deudores,corporativo,758.000000
2017-01-31,morosidad_publicada,corporativo,0.000459
2017-01-31,deudores,grandes_empresas,2745.000000
2017-01-31,morosidad_publicada,grandes_empresas,1.093488
2017-01-31,deudores,hipotecario,208881.000000
2017-01-31,morosidad_publicada,hipotecario,2.323400
2017-01-31,deudores,medianas_empresas,28411.000000
2017-01-31,morosidad_publicada,medianas_empresas,6.741171
2017-01-31,deudores,microempresas,595845.000000
2017-01-31,morosidad_publicada,microempresas,3.030397
2017-01-31,deudores,pequenas_empresas,235207.000000
