fecha,entidad_id,tipo_credito,deudores
2015-05-31,BIF,medianas_empresas,3930.000000
2015-05-31,BIF,microempresas,3228.000000
2015-05-31,BIF,pequenas_empresas,3172.000000
2015-05-31,CENCOSUD,consumo,260166.000000
2015-05-31,CITIBANK,corporativo,41.000000
2015-05-31,CITIBANK,grandes_empresas,58.000000
2015-05-31,CITIBANK,medianas_empresas,17.000000
2015-05-31,CITIBANK,microempresas,6.000000
2015-05-31,CITIBANK,pequenas_empresas,6.000000
2015-05-31,FALABELLA,consumo,1122096.000000
2015-05-31,FALABELLA,grandes_empresas,1.000000
2015-05-31,FALABELLA,hipotecario,213.000000
2015-05-31,FALABELLA,medianas_empresas,1.000000
2015-05-31,GNB,consumo,43468.000000
2015-05-31,GNB,corporativo,26.000000
2015-05-31,GNB,grandes_empresas,155.000000
2015-05-31,GNB,hipotecario,4548.000000
2015-05-31,GNB,medianas_empresas,446.000000
2015-05-31,GNB,microempresas,8.000000
2015-05-31,GNB,pequenas_empresas,91.000000
2015-05-31,ICBC,corporativo,6.000000
2015-05-31,ICBC,grandes_empresas,4.000000
2015-05-31,INTERBANK,consumo,840533.000000
2015-05-31,INTERBANK,corporativo,124.000000
2015-05-31,INTERBANK,grandes_empresas,550.000000
2015-05-31,INTERBANK,hipotecario,36352.000000
2015-05-31,INTERBANK,medianas_empresas,3845.000000
2015-05-31,INTERBANK,microempresas,1077.000000
2015-05-31,INTERBANK,pequenas_empresas,8017.000000
2015-05-31,MIBANCO,consumo,198052.000000
2015-05-31,MIBANCO,hipotecario,4622.000000
2015-05-31,MIBANCO,medianas_empresas,2612.000000
2015-05-31,MIBANCO,microempresas,557824.000000
2015-05-31,MIBANCO,pequenas_empresas,125350.000000
2015-05-31,PICHINCHA,consumo,249938.000000
2015-05-31,PICHINCHA,corporativo,100.000000
2015-05-31,PICHINCHA,grandes_empresas,316.000000
2015-05-31,PICHINCHA,hipotecario,8156.000000
2015-05-31,PICHINCHA,medianas_empresas,2161.000000
2015-05-31,PICHINCHA,microempresas,18643.000000
2015-05-31,PICHINCHA,pequenas_empresas,16875.000000
2015-05-31,RIPLEY,consumo,499937.000000
2015-05-31,RIPLEY,microempresas,9.000000
2015-05-31,SANTANDER,consumo,15.000000
2015-05-31,SANTANDER,corporativo,59.000000
2015-05-31,SANTANDER,grandes_empresas,181.000000
2015-05-31,SANTANDER,medianas_empresas,150.000000
2015-05-31,SANTANDER,pequenas_empresas,6.000000
2015-05-31,SCOTIABANK,consumo,342313.000000
2015-05-31,SCOTIABANK,corporativo,199.000000
2015-05-31,SCOTIABANK,grandes_empresas,1098.000000
2015-05-31,SCOTIABANK,hipotecario,29105.000000
2015-05-31,SCOTIABANK,medianas_empresas,10973.000000
